Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
09-08-2001,43.2,43,43.4,43,43.4,43.3,43.08,1948
10-08-2001,43.3,43.15,43.45,43,43.45,43,43.04,1384
13-08-2001,43,44,44,43,43,43,43.27,1085
14-08-2001,43,43.5,43.75,43,43,43,43.05,3931
16-08-2001,43,43,43.9,43,43,43.1,43.03,4214
17-08-2001,43.1,43,43.5,43,43,43,43.05,3985
20-08-2001,43,43,43.4,43,43,43,43.03,785
21-08-2001,43,43,43.45,43,43,43,43.19,1745
23-08-2001,43,42.9,43.35,42.9,43.3,43,43,3205
24-08-2001,43,43,43.25,43,43,43,43.05,2848
27-08-2001,43,43,43.45,43,43.25,43.25,43.07,2794
28-08-2001,43.25,43,43.25,43,43,43.05,43.02,2580
29-08-2001,43.05,43.5,43.5,43,43.05,43.05,43.05,1331
30-08-2001,43.05,43,43.25,43,43,43,43.01,1008
31-08-2001,43,43,43.5,43,43,43.1,43.12,3622
03-09-2001,43.1,43.85,44,43,43.05,43.15,43.58,3510
04-09-2001,43.15,45.45,45.45,43,43,43,43.06,1051
05-09-2001,43,43,43.25,43,43,43,43,2478
06-09-2001,43,43.9,43.9,43,43,43,43,3770
07-09-2001,43,43,43.4,43,43.1,43.15,43.09,2462
10-09-2001,43.15,43,43.4,43,43,43,43.06,2664
11-09-2001,43,43,43.35,42.5,43,43,42.84,15425
12-09-2001,43,41.6,41.6,36,37.5,37.75,38.39,11878
13-09-2001,37.75,38.5,38.9,37.75,38.2,37.75,38.13,3591
14-09-2001,37.75,37.75,37.75,31.5,32.75,32.1,34,5307
17-09-2001,32.1,30,30,26.5,26.5,27.3,27.67,14708
18-09-2001,27.3,26.95,32.75,26,32.35,32.15,31.17,7843
19-09-2001,32.15,32.1,36.9,32.05,35.25,35.75,35.06,7502
20-09-2001,35.75,36,36.5,33,35.4,34.55,34.42,4826
21-09-2001,34.55,34.55,41.5,34.55,37.1,37.8,39.31,17050
24-09-2001,37.8,41.9,41.9,38,39.75,40,39.88,11490
25-09-2001,40,40,40.2,40,40,40,40,8583
26-09-2001,40,40.2,40.9,39.85,40.1,40.1,40.02,6456
27-09-2001,40.1,40.2,41.5,40,40,40,40.42,3460
28-09-2001,40,40.45,40.5,40,40,40.05,40.04,4639
01-10-2001,40.05,40,40.1,40,40,40,40.01,3214
03-10-2001,40,40.25,40.3,40,40,40,40.06,2431
04-10-2001,40,40.05,40.25,40,40.2,40.05,40.03,2395
05-10-2001,40.05,40,40.4,40,40.4,40.35,40.07,1739
08-10-2001,40.35,38,40.5,38,40.5,40.1,39.87,8817
09-10-2001,40.1,40,41.7,40,40.5,40.5,40.16,3332
10-10-2001,40.5,40,40.9,40,40.85,40.85,40.1,1942
11-10-2001,40.85,40.5,41,40,40,40.2,40.22,1955
12-10-2001,40.2,40,40.05,37.75,38.6,38.75,38.75,2125
15-10-2001,38.75,37.3,39,37.25,37.55,38,37.9,5746
16-10-2001,38,37.05,40,37.05,39,39.8,38.52,3021
17-10-2001,39.8,39.5,39.9,38.05,38.05,38.4,39.06,2279
18-10-2001,38.4,38.2,38.85,38,38.5,38.45,38.37,1661
19-10-2001,38.45,38.45,41,37.6,38,37.8,38.72,3285
22-10-2001,37.8,38.5,40,38.1,39.65,39.15,39.45,4874
23-10-2001,39.15,39,40.4,39,39.75,39.8,39.83,2970
24-10-2001,39.8,40,40,39.05,39.2,39.25,39.28,1282
25-10-2001,39.25,41.9,41.9,39.6,39.75,39.95,40.4,1940
29-10-2001,39.95,40.25,41,38.75,38.75,39,39.84,1905
30-10-2001,39,39.4,39.5,38.65,39,39,39.17,905
31-10-2001,39,39,39.5,38.3,39,38.95,38.85,1150
01-11-2001,38.95,38.5,38.95,38.05,38.7,38.55,38.58,730
02-11-2001,38.55,37,39,37,38,38.25,38.39,2092
05-11-2001,38.25,38,39.45,38,39.45,39.1,38.54,2738
06-11-2001,39.1,39,40.1,38.5,39,39,39.53,7015
07-11-2001,39,38.6,39.2,38.5,38.65,38.65,38.83,2006
08-11-2001,38.65,37.65,39,37.6,38.55,38.55,38.69,6644
09-11-2001,38.55,39.15,39.8,38.5,39.8,39.4,39.11,2715
12-11-2001,39.4,39.75,40.5,39.1,39.15,39.2,39.62,3584
13-11-2001,39.2,39,39.6,38.6,39,39.15,38.98,2968
14-11-2001,39.15,40,41.5,39.7,40.95,40.8,40.72,10073
15-11-2001,40.8,47.8,49,43.75,49,48.45,47.29,45463
19-11-2001,48.45,50,53.8,50,52.5,52.5,51.89,28394
20-11-2001,52.5,52.6,53,46.15,49,50,50.41,13205
21-11-2001,50,46.35,52,46.2,50.65,50.45,50.16,8507
22-11-2001,50.45,51,58,50,52.25,51.3,54.05,40852
23-11-2001,51.3,54.8,54.8,51.5,52.2,51.95,52.86,12674
26-11-2001,51.95,53.75,53.75,51,52,52,52.63,10338
27-11-2001,52,52,53.5,50,50,50.45,51.19,10606
28-11-2001,50.45,51,51,48,48,48.15,48.6,6705
29-11-2001,48.15,47,48.95,46.5,48.45,48.2,47.73,7610
03-12-2001,48.2,47,50.5,46.5,49.9,49.65,49.15,10779
04-12-2001,49.65,48.85,49.7,48.5,49.5,49.4,49.1,2857
05-12-2001,49.4,50.05,50.8,48.15,49.7,49.55,49.64,8785
06-12-2001,49.55,53,53,48.5,48.5,48.6,50.26,17292
07-12-2001,48.6,48,49.35,48,49,48.55,48.65,7562
10-12-2001,48.55,54,54,48.6,49.4,49.35,49.47,16272
11-12-2001,49.35,48.55,51.9,47.75,49.1,49.3,49.98,13511
12-12-2001,49.3,49,50.35,48.1,48.1,48.3,49.1,3895
13-12-2001,48.3,49.5,51.85,46.5,47.2,47.45,49.23,31287
14-12-2001,47.45,48.1,51,48,51,50.65,49.75,26178
18-12-2001,50.65,50.1,51.7,48.6,51.1,50.35,49.82,27379
19-12-2001,50.35,50.5,51,49,49.8,49.45,49.95,16232
20-12-2001,49.45,50,50.3,46.5,49.1,49.75,49.2,15775
21-12-2001,49.75,55,55,47.25,50.25,49.4,48.75,18423
24-12-2001,49.4,45,49.5,45,47.75,47.85,47.89,13924
26-12-2001,47.85,48.95,51,48,48.5,48.85,49.25,6611
27-12-2001,48.85,48.1,50,48.1,49.5,49.15,49.15,14717
28-12-2001,49.15,47,50.1,47,48.65,49.45,49.12,17311
31-12-2001,49.45,55,55,50,50.5,50.65,50.73,8389
01-01-2002,50.65,49.75,50.85,48,48.05,49.1,49.28,10010
02-01-2002,49.1,50,52.5,48.85,52,51.85,50.81,9060
03-01-2002,51.85,51,52,50.9,51,51.5,51.34,10320
04-01-2002,51.5,51.3,51.5,50,50,50.6,50.8,6765
07-01-2002,50.6,50.5,60.75,50.5,60.75,58.95,56.55,41349
08-01-2002,58.95,60,70.75,60,67.4,66.85,68.12,63094
09-01-2002,66.85,69,73,66.1,67.5,67.7,70.18,88089
10-01-2002,67.7,68.4,70.3,66.25,68,67.8,68.51,23313
11-01-2002,67.8,69.35,79,69.35,72.4,72.15,73.47,105177
14-01-2002,72.15,74.9,86.5,74.9,81.65,80.55,79.67,68848
15-01-2002,80.55,81.5,82.9,76.2,77,77.05,78.2,37778
16-01-2002,77.05,78.95,78.95,75,75.6,75.05,76.34,20080
17-01-2002,75.05,75.6,76.5,73,75,75.15,74.78,24092
18-01-2002,75.15,70.2,76.5,70.2,75,75.05,75.31,22120
21-01-2002,75.05,75,80,75,77.6,77.6,77.56,21010
22-01-2002,77.6,77.5,82,77,79,78.55,78.97,30632
23-01-2002,78.55,78,79,75,76.8,76,76.46,37286
24-01-2002,76,76.95,77,73,73.55,73.55,74.51,28206
25-01-2002,73.55,72.35,72.5,68,69.8,69.4,69.61,36252
28-01-2002,69.4,71.1,71.1,67.6,68.2,68.5,69.07,12505
29-01-2002,68.5,69.9,70,67.05,68,67.35,67.96,10861
30-01-2002,67.35,67,67.2,62.1,64.75,63.95,64.42,25311
31-01-2002,63.95,70,76.75,70,76.75,76.75,76.57,30325
01-02-2002,76.75,92.1,92.1,79,82.5,81.85,83.66,181201
