Date,Close,High,Low,Open,Volume
04-06-2020,175.2530365,178.050645,174.659028,176.5751995,28761800
05-06-2020,179.3536224,179.8614066,174.3811558,174.9655886,39893600
08-06-2020,180.4650269,180.6470655,176.7093326,178.1464612,33211600
09-06-2020,181.8446503,182.7069215,179.4111047,180.1200933,29783900
10-06-2020,188.5895996,190.1991913,183.0039578,183.118938,43872300
11-06-2020,178.462616,187.5548393,178.2710018,185.035084,52854700
12-06-2020,179.8709564,183.6841322,177.4182455,182.5535838,43373600
15-06-2020,181.0207062,182.8219119,176.2973363,176.8434521,32770200
16-06-2020,185.456665,187.3824121,183.4351035,184.8051591,42556700
17-06-2020,186.0985413,188.0913609,185.5715913,186.8554224,25687800
18-06-2020,188.0913849,188.2542577,185.8686191,185.8686191,23061600
19-06-2020,186.9704437,190.9369185,186.2231379,190.2662613,44441100
22-06-2020,192.1632843,192.3453083,187.0470948,187.5836205,32818900
23-06-2020,193.4470825,195.4015709,192.9871909,193.6195309,30917400
24-06-2020,189.5476379,194.7308842,188.3212896,193.1500489,36740600
25-06-2020,191.9428406,192.2015277,187.276969,189.5093099,27803900
26-06-2020,188.1009369,191.5117191,186.7117158,191.3584219,54675800
29-06-2020,190.1225433,190.2087675,185.4375045,187.5740317,26701600
30-06-2020,194.980011,195.8327067,189.4518672,189.5859986,34310300
01-07-2020,196.1201172,197.7009672,193.3129334,194.625506,32061200
02-07-2020,197.6147461,199.3009862,196.4075634,197.0590546,29315800
06-07-2020,201.8686371,202.2806215,199.368033,200.0770217,31897600
07-07-2020,199.5213623,205.6722712,199.2722653,201.6291481,33600700
08-07-2020,203.9093475,204.3213173,199.942874,201.2650367,33600000
09-07-2020,205.3368988,207.3105527,202.6063492,207.2626455,33121700
10-07-2020,204.7141266,205.1069451,202.2326887,204.6662194,26177600
13-07-2020,198.3907776,206.7548602,197.8446618,205.4901803,38135600
14-07-2020,199.6171417,200.0961845,193.5620337,197.4901905,37591800
15-07-2020,199.3201447,202.4722548,196.4363119,200.776439,32179400
16-07-2020,195.372818,197.0782092,193.8302996,196.7907806,29940700
17-07-2020,194.3764191,196.4458729,192.9488662,195.8997717,31635300
20-07-2020,202.7309265,203.4015835,194.5009598,196.4075555,36884800
21-07-2020,200.0003662,204.9728327,199.3105434,204.7045699,37990400
22-07-2020,202.8746338,203.4015838,199.6554655,200.4315125,49605700
23-07-2020,194.0506439,202.0794056,193.6769911,198.5057506,67457000
24-07-2020,192.8626404,194.3572516,189.2314877,192.0195203,39827000
27-07-2020,195.3057556,195.4207212,192.4410744,193.0255072,30160900
28-07-2020,193.552475,196.1201376,193.2842122,195.0758277,23251400
29-07-2020,195.5069733,196.0722403,193.5428946,194.0123619,19632600
30-07-2020,195.3536377,195.8901779,191.2051401,192.5751954,25079600
31-07-2020,196.4171295,196.5033683,190.6686157,195.8326967,51044000
03-08-2020,207.4638824,208.5177826,201.6195681,202.6543025,78983000
04-08-2020,204.3500824,205.7680597,201.4949912,205.1932024,49280100
05-08-2020,204.0147247,205.9883785,202.7021523,205.8925641,28806400
06-08-2020,207.2818451,207.3009963,202.6830309,203.4399121,32656800
07-08-2020,203.5740204,206.6590571,202.0889848,205.8446932,27820400
10-08-2020,199.5213623,202.9992183,197.7010052,202.7980139,36716500
11-08-2020,194.8554382,198.9464529,194.6254924,198.4770003,36446500
12-08-2020,200.4219208,201.4662305,196.1680185,196.6853783,28013100
13-08-2020,199.9524689,202.4914046,199.4255188,200.6614575,22588900
14-08-2020,200.1440735,200.8051549,198.8123351,200.0099421,17958900
17-08-2020,201.4662323,202.3380937,200.1632353,200.8147411,20184800
18-08-2020,202.6255493,203.4590792,200.4411151,201.7057806,21336200
19-08-2020,201.3961945,203.7011669,200.9640167,203.1153214,27627600
20-08-2020,206.0830078,206.4863748,200.6375317,201.2425748,26981500
21-08-2020,204.5847321,207.6868248,204.4214656,205.3914658,36249300
24-08-2020,205.2282104,206.9857471,204.0180951,206.2846434,25460100
25-08-2020,207.8981323,208.032588,204.6615837,204.6615837,23043700
26-08-2020,212.3927917,213.2955715,208.7528764,209.2522893,39600800
27-08-2020,217.6078033,221.9968312,210.712112,214.063919,57602200
28-08-2020,219.84552,221.5070106,217.6077827,219.1444163,26292900
31-08-2020,216.5993805,219.6438519,215.4276893,218.0111721,28774200
01-09-2020,218.2704926,218.4433578,215.5429407,216.5801762,25725500
02-09-2020,222.4770203,223.6391126,218.3473052,218.9427495,34080800
03-09-2020,208.6952515,220.2296683,206.4479154,220.1912587,58400300
04-09-2020,205.7660522,209.7133036,197.0648157,206.5823995,59664100
08-09-2020,194.6349792,201.7131339,194.1931881,198.3229176,52924300
09-09-2020,202.923233,206.3326614,198.5149935,199.3793637,45679000
10-09-2020,197.2376709,206.2366438,196.0275702,204.9496945,35461500
11-09-2020,195.9507141,200.3685668,193.2712004,198.9951851,33620100
14-09-2020,197.2761078,200.9160236,195.9507488,196.1524396,30375800
15-09-2020,200.5126495,201.4730512,198.7359007,200.1669044,21823900
16-09-2020,196.9303436,202.3085836,196.5365755,202.2797727,26328100
17-09-2020,194.8751068,196.2388754,192.0419248,192.1283574,34011300
18-09-2020,192.4548645,195.5857683,188.4788027,194.7694357,55225300
21-09-2020,194.5197296,194.6830108,188.603667,189.38159,39839700
22-09-2020,199.2064972,199.8595779,194.0779562,196.9399488,33517100
23-09-2020,192.6469574,199.8595829,192.1091348,199.6674909,30803800
24-09-2020,195.144043,197.4298039,191.3120345,191.9363045,31202500
25-09-2020,199.590683,200.7623595,194.5197487,195.4897637,29437300
28-09-2020,201.1465302,204.1525921,199.8211711,202.5295109,32004900
29-09-2020,199.0528412,201.7515821,198.6206634,201.0600918,24221900
30-09-2020,202.0012512,203.5859078,198.3613213,199.5042014,33829100
01-10-2020,204.046936,205.5163494,202.9520788,205.0361485,27158400
02-10-2020,198.0251923,202.6351225,197.4009225,199.7635167,33154800
05-10-2020,202.0493164,202.0781273,198.7839418,199.0144435,21331600
06-10-2020,197.7563019,201.8572063,196.7094676,200.5510741,28554300
07-10-2020,201.5210724,201.7899837,198.5342228,198.8607558,25681100
08-10-2020,202.2414093,202.827255,200.0709065,202.1741741,19925800
09-10-2020,207.2642975,207.3123205,202.8656558,202.8656558,26458000
12-10-2020,212.6329193,214.9955138,208.2246793,210.1262704,40461400
13-10-2020,214.0350952,216.2920448,211.7013118,213.9006396,28950800
14-10-2020,212.1143036,215.3412536,210.4528129,214.1695625,23421700
15-10-2020,210.9618683,211.6341466,207.4563928,208.503242,22733100
16-10-2020,210.9618683,213.4877151,210.6353352,211.4324558,26057900
19-10-2020,205.7372589,213.4973066,205.257058,211.6917467,27625800
20-10-2020,206.1502075,208.7625012,204.6519833,207.2546782,22753500
21-10-2020,206.2942657,208.3303124,204.6807834,204.6807834,22724900
22-10-2020,206.380722,207.5043903,203.3170383,205.45873,22351500
23-10-2020,207.6676483,207.7156713,204.7192228,206.5151692,18879600
26-10-2020,201.7611694,207.7732782,199.8595784,205.3818876,37111600
27-10-2020,204.8056641,206.1694327,202.0012928,203.2113937,36700300
28-10-2020,194.6541748,200.5702517,194.0971548,199.4465837,51195600
29-10-2020,196.6134491,199.1489092,195.3169009,195.9891938,31432600
30-10-2020,194.4524994,196.2004226,191.7153492,195.4417118,36953700
02-11-2020,194.3180847,197.1512669,192.1955904,196.2004639,30842200
03-11-2020,198.2556915,199.8787725,195.0767646,195.816278,27512000
04-11-2020,207.8213043,209.6748871,204.0085087,205.5451572,42311800
05-11-2020,214.4480896,215.2452248,212.3928305,213.2475875,36080100
06-11-2020,214.861084,215.4757405,209.3963956,213.458891,25231900
09-11-2020,209.7421265,219.0868309,209.2523269,215.5525597,44395000
10-11-2020,202.6543732,207.9269842,201.4154613,206.0061806,44045100
11-11-2020,207.9749756,209.4059646,203.7972226,203.9797013,29440800
12-11-2020,206.908905,210.4335768,205.9677156,208.6088198,21593900
13-11-2020,207.9365692,208.8105383,205.679634,207.7925148,18621100
16-11-2020,208.6280518,209.117866,206.0253714,206.3615032,24953300
17-11-2020,205.9677429,209.0602227,205.6027856,207.542801,24154100
18-11-2020,203.2523346,207.190658,203.1078884,205.7270214,28372800
19-11-2020,204.5426178,205.1299972,202.1449516,203.5411916,24792700
20-11-2020,202.5879364,205.3803875,202.2123997,204.3308124,22843100
23-11-2020,202.3182678,204.4174175,200.4405847,203.1271137,25683500
24-11-2020,205.9292297,206.3047664,201.1146494,201.817574,33979700
25-11-2020,205.9388428,207.3061817,204.5811424,207.1328639,21012900
27-11-2020,207.2484131,208.249854,206.1025407,206.882515,14512200
30-11-2020,206.1314087,206.7958083,203.0211798,206.160295,33064800
01-12-2020,208.1920776,209.260915,205.4381373,206.5551087,30904500
02-12-2020,207.3832092,207.4795067,204.9085228,206.9113898,23724500
03-12-2020,206.2951355,208.3557752,205.7270039,206.6514097,25120900
04-12-2020,206.4106903,207.3928688,205.2744417,206.2758826,24666000
